donor_id,donation_id,campaign_id,donation_date,transaction_fee,payment_method,donation_amount,device_type
36768f5f-d54e-4ed7-a0c1-2d78a9e47825,33bdf0c4-b53b-4b32-97a1-d5774551a4aa,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-02-19 12:54:26,4.41,Bank Transfer,59.37,Mobile
3d35b8cd-5e31-41a2-be8d-f9d15ac955f5,266bc459-9f04-4c5d-8788-f16284d3e01e,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-02-21 21:54:34,2.71,Bank Transfer,24.86,Desktop
c021c52f-d1fe-4b67-bec0-314d1353f14c,0e2ad539-262b-4818-b183-5df67961ee8d,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-02-24 00:02:28,1.21,Bank Transfer,47.0,Desktop
0eb66534-de88-4f69-8c54-2ea8f587b57a,dd50b0c0-e564-4644-aefc-a3d17e7ff949,07f1d9ed-cebb-4d9c-9e60-785c418862c3,2022-02-24 00:10:02,2.26,PayPal,106.05,Mobile
077af8c8-6de8-40e9-940b-14e1b642b211,b01ed954-388b-4b57-823e-1a7f9a751241,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-02-26 19:48:33,4.2,PayPal,17.98,Tablet
ebc767c9-b852-4ece-b815-35e0634798cc,80ac151e-2d80-462d-bb4b-44cbb26da085,6823125d-121e-4073-9785-5ea521b717a2,2022-02-27 15:50:15,2.04,Bank Transfer,,Tablet
9d35ce08-78c4-48e1-8540-b852aab628e6,127dbbb4-0629-4d51-93df-1204ae6c5066,07f1d9ed-cebb-4d9c-9e60-785c418862c3,2022-03-01 11:15:30,2.12,PayPal,51.39,Tablet
ddb67d27-1bb0-452a-885d-6a082e3faa24,14327ed2-e180-4c61-b6cc-3b905e8bd257,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-03-01 14:15:46,4.51,Credit Card,103.89,Mobile
7b8cf27e-53b7-4d74-81b6-96383281db65,506d0fe0-5867-4eb5-9707-cc983d8fb6ed,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-03-02 20:04:41,3.18,Bank Transfer,136.77,Mobile
26ac5153-b210-4db0-9d9a-fb680797d96d,f7b7ef4f-17d9-4dd2-a9ea-1fde9d09cbbd,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-03-03 21:56:32,0.99,Bank Transfer,28.78,Mobile
7b8cf27e-53b7-4d74-81b6-96383281db65,651f60e2-7c17-4543-b34e-bd293d43657c,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-03-04 13:41:53,1.66,Credit Card,75.12,Mobile
58abab4a-8182-459a-99ea-97a8b232311c,c142d829-e88a-4b49-811c-3a871f704284,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-03-05 16:02:59,3.61,Bank Transfer,37.39,Mobile
ebc767c9-b852-4ece-b815-35e0634798cc,f0fd3d1c-e455-4e2a-b0e1-7e09fa31342e,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-03-06 02:55:44,2.81,Credit Card,35.08,Tablet
ce1c45ea-9d80-42fe-b701-cddf3225f3b5,8a7a419f-3c4c-4736-96ef-43e98e2cceff,4219171b-f6c5-45d4-84d2-b0f2d6af8d1c,2022-03-06 13:06:09,1.77,Bank Transfer,131.0,Mobile
d40bb490-9afd-480c-b4dd-f0271aec1958,2a61bd59-935e-4405-abc3-c5f7cc50e6ce,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-03-07 17:35:48,Error,Credit Card,191.1,Mobile
ebc767c9-b852-4ece-b815-35e0634798cc,8a01aaf7-ba44-413f-8375-bb8185b8a0b5,109eb734-cfac-492f-8fa4-7c6f49207cb9,2022-03-07 18:56:37,1.34,Credit Card,158.6,Tablet
c5ceb56b-5b25-40bf-bde5-fa802a7b748a,33d23682-a90a-417f-8a81-841fde5654a2,61baa425-8005-4ca7-a7c2-e308bd04570e,2022-03-08 03:27:26,2.54,Bank Transfer,105.76,Tablet
7628e452-c35f-4e4e-87df-f55fdd2d7682,a42d19b0-421b-40ae-b2e8-265bf4d5a6b2,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-03-08 06:25:26,0.65,Bank Transfer,69.77,Tablet
b540c8d9-9ce9-4301-a297-00d4d1fb31a2,7c7ff7d8-d3bd-469c-b242-e1b8cc2000aa,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-03-08 10:57:26,4.35,Credit Card,37.2,Tablet
2c29a336-7387-4604-8a66-95ebcbebf2e1,9089ac36-c7c5-407f-ab22-dd6f6db5ee57,109eb734-cfac-492f-8fa4-7c6f49207cb9,2022-03-08 20:20:41,4.49,Bank Transfer,125.82,Tablet
f24928a6-dfb6-4283-bbdb-fb7f02b23e28,632a0bc2-d0de-4ff5-b8ff-1f9b19e88d51,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-03-09 14:29:09,3.01,PayPal,32.52,Mobile
c021c52f-d1fe-4b67-bec0-314d1353f14c,22dc57fa-480b-46a4-8d4e-15b27d7c3b83,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-03-10 18:14:35,2.54,PayPal,89.03,Mobile
06f0e8b7-3181-4c9f-b942-973d7be46f51,0648e93b-3525-40ee-a9c0-3c2027b2b1e5,6c29787b-0ef5-4801-bb36-8d5ff50790d5,2022-03-11 17:22:19,1.05,PayPal,119.81,Tablet
a2674172-e01a-467c-b065-687786488e9c,0e072fce-e9a5-4f24-9c05-73e1b87ef61c,8a554f71-1506-4a60-8b76-93c3e6175eb6,2022-03-12 06:18:18,3.87,Bank Transfer,90.91,Mobile
639fe327-ec48-4594-bcd8-64ecba1b1fd1,99c41001-14a5-48d5-9077-86b254283bf7,ce85ba81-94a9-4446-90af-9e84134103ad,2022-03-13 06:35:41,None,Bank Transfer,173.12,Desktop
908762ca-7908-4473-bfc8-2aba9d1d8d9f,d750968b-32ca-4784-81ff-1d43ad7b923b,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-03-14 01:56:25,1.63,PayPal,18.44,Mobile
2d845580-c3c6-4b22-aefe-71e090b3f4f2,40360d5b-2314-444f-83a0-5dc21bd4bd5f,61baa425-8005-4ca7-a7c2-e308bd04570e,2022-03-14 07:31:51,3.49,Bank Transfer,41.59,Tablet
bc997c62-3599-4142-92f7-079cd07db42b,52daed05-c79b-4c60-bf3e-044b4dc3102c,61baa425-8005-4ca7-a7c2-e308bd04570e,2022-03-14 10:55:26,1.53,Credit Card,74.71,Tablet
5d379192-c55a-4a00-998e-49374796d583,e2b4fbea-daa3-4ee7-a09a-c8eee4302c6c,61baa425-8005-4ca7-a7c2-e308bd04570e,2022-03-15 04:38:03,3.25,Credit Card,97.95,Mobile
459683ff-efde-4d0e-9dd0-89eb498227ee,ac1735f0-dd96-4d03-94dc-a2917a5bd5fa,ce85ba81-94a9-4446-90af-9e84134103ad,2022-03-15 18:41:41,2.65,Credit Card,38.58,Desktop
d40bb490-9afd-480c-b4dd-f0271aec1958,397a2f67-ca6b-471e-89eb-faeea0ebcc47,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-03-16 01:26:27,1.0,PayPal,None,Tablet
3cd0e3ca-b0be-42c1-b597-2ae28e77d5af,8141fca2-735a-4ecc-84df-3b6f9fbec8ef,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-03-18 23:14:39,1.03,Credit Card,14.21,Desktop
2b3fc9a9-5243-42ed-98ff-c8e8f1e75984,6f2793e8-8e3b-4141-8f6c-cd39402c9737,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-03-19 00:12:23,2.35,Bank Transfer,85.81,Mobile
7628e452-c35f-4e4e-87df-f55fdd2d7682,e44fe4f8-db57-4701-8619-78ca3f1e50e2,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-03-20 03:16:07,4.39,Bank Transfer,43.28,Tablet
e0eef2bf-ef1c-49eb-ace8-ca5f2e57076c,38961e4b-71de-4809-a2a1-f37578fc83a8,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-03-22 00:51:07,4.13,PayPal,18.3,Tablet
eb6b2756-bcd8-462d-b84f-5db45bbeb604,5b6e8f29-16b2-4349-a2e2-45e87bb816f4,6c29787b-0ef5-4801-bb36-8d5ff50790d5,2022-03-22 02:35:48,1.69,PayPal,115.15,Mobile
d40bb490-9afd-480c-b4dd-f0271aec1958,57b515f3-0dca-47b6-a3aa-327f23245b50,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-03-22 14:03:49,3.17,Bank Transfer,184.06,Mobile
76e550fb-e172-4e14-8262-053fe74ba582,99ae824a-4a46-48be-9fd2-9a76d8283539,ce85ba81-94a9-4446-90af-9e84134103ad,2022-03-22 16:19:49,2.75,Credit Card,163.83,Desktop
dc3e8644-6469-467d-b8f7-f3eb8852858a,f99ffa6a-f8d0-40f7-9e59-c924266507bd,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-03-25 14:15:40,4.43,PayPal,192.17,Mobile
b1627eb2-3cd6-47c5-b442-77730c430e23,c7d80ed8-bdf2-47e2-882d-7edce94aed2b,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-03-26 01:48:12,0.55,Credit Card,133.73,Desktop
6a87d9f7-5bf5-4964-b1dd-a0aa67fc2934,2c6fae62-32d9-4175-b03d-44b72f0b279b,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-03-26 12:29:11,2.48,PayPal,42.2,Mobile
2d845580-c3c6-4b22-aefe-71e090b3f4f2,c443733f-ae6f-47cd-9fba-8382db61302d,6c29787b-0ef5-4801-bb36-8d5ff50790d5,2022-03-26 14:30:38,4.74,Credit Card,193.34,Tablet
7758f011-bb16-4d6a-994e-f8ef2ca013c6,614aa734-c5b9-4317-ac23-ce9529a44093,ce85ba81-94a9-4446-90af-9e84134103ad,2022-03-26 20:40:57,0.82,Credit Card,111.3,Desktop
8a78cbd5-7a18-441b-beaf-02d4167b61b8,05d8091c-f319-4f18-a94b-5f6e2b46e318,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-03-27 02:03:48,2.03,Bank Transfer,126.05,Desktop
639fe327-ec48-4594-bcd8-64ecba1b1fd1,ad690747-7e6a-462b-9143-946404d386e5,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-03-27 17:23:06,1.2,PayPal,153.04,Mobile
aa814e0d-fbde-49ff-bf20-f6091ba1680d,4ee29039-1bff-46c7-a8de-59f6a8ce8451,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-03-28 07:54:46,1.27,PayPal,191.16,Tablet
1c920c83-1f8c-4855-84bd-cd162ea6828c,6cd8ab1a-72fa-4dee-b95d-81f20ccc3137,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-03-28 18:27:14,1.3,PayPal,141.18,Desktop
0817e289-c6fb-4f64-920e-4d8248ed223e,93e76965-ed50-4314-b033-139cdba3839d,,2022-03-30 14:36:55,1.35,Bank Transfer,145.02,Mobile
b0d0b16e-9dc1-4c27-82c8-467829653e18,524c2e32-ea19-4cc3-9af4-b70b5a754bf8,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-03-30 23:42:19,1.53,PayPal,98.74,Mobile
89e1c18c-af9a-4105-82e8-0919565f8616,90a6077f-6557-47da-afc6-263b64c703a7,07f1d9ed-cebb-4d9c-9e60-785c418862c3,2022-04-01 01:50:28,2.22,Credit Card,87.35,Tablet
31a6a885-2447-4229-a46c-af7ddc7b3626,5c820817-7fdd-4a3e-a9da-e5eea2aaa9ff,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-01 06:23:26,3.06,PayPal,31.28,Tablet
c667ef47-5632-4b79-add2-522e7bf3071c,cb83d832-1df6-4b00-aade-7e8bbabb23fd,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-04-03 18:59:45,2.93,Bank Transfer,147.68,Desktop
d40bb490-9afd-480c-b4dd-f0271aec1958,b073ade3-67b3-46b6-b742-0d0892930b46,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-04-04 03:49:50,4.41,PayPal,112.5,Mobile
a95daa88-d2c5-4460-852f-263dff810b15,01766102-efa2-4c89-8bde-6864ad94e8a5,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-04-05 04:32:47,2.36,Bank Transfer,71.41,Mobile
384b0235-6804-43ff-a52f-952a83a81026,1e93da35-b798-457a-8585-4b3583500977,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-05 16:53:32,3.41,Bank Transfer,178.45,Desktop
000eef7e-6ba6-49b0-9830-6e28ae47f516,178fe38e-5c28-4f2e-a604-fb0dad0bf00c,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-04-07 02:07:35,2.23,Bank Transfer,103.63,Desktop
b7365f7b-495e-4628-8c4a-0695b85060b7,a7015ede-2ed4-40fd-802e-f8a2bb93d869,f3bd1255-8256-4e98-8a50-fd75978f7cd3,2022-04-07 02:58:07,2.0,PayPal,167.35,Desktop
3d35b8cd-5e31-41a2-be8d-f9d15ac955f5,6c686881-d6e5-4393-bb8e-009e3fb53e87,,2022-04-07 16:23:43,4.67,PayPal,43.21,Tablet
e28caa8f-d568-4495-82b5-106594119c1a,1d9fc1c5-7d8c-45cb-ac25-09f4f0881dec,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-04-07 20:56:16,1.46,PayPal,109.49,Tablet
39178e60-fb37-4a69-8365-679884704258,e811a431-7a6b-4a92-bbf6-79f7d0a445f7,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-04-09 09:41:13,4.32,Credit Card,91.94,Tablet
88d22589-1fbe-4223-af3c-be94b61520aa,904344fc-1ea8-495b-a699-fa8a7ae5123e,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-04-09 22:22:43,2.53,Bank Transfer,104.84,Tablet
89e1c18c-af9a-4105-82e8-0919565f8616,ecf98ebf-eec4-4535-b712-de8c59dd5a2a,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-04-09 23:22:14,2.58,Bank Transfer,64.05,Mobile
28948884-fb0e-4063-afa2-77450b0f5a61,a3665482-7062-4496-9bc7-a7293c36e58b,8a554f71-1506-4a60-8b76-93c3e6175eb6,2022-04-10 11:55:11,0.92,Bank Transfer,95.38,Desktop
3c7e1ed2-1d95-4067-bfb0-789618fc4f2f,08582a53-6222-4241-b65b-92e093ab44c9,109eb734-cfac-492f-8fa4-7c6f49207cb9,2022-04-12 03:16:06,2.9,Credit Card,53.49,Tablet
59183afd-7476-4ac6-9930-c587e2c44b36,f8b152b5-2529-443f-97ee-67102295ae72,82c0b061-0523-4690-9e6f-a7e2226fabc4,2022-04-12 15:00:21,2.41,Bank Transfer,197.4,Mobile
3d35b8cd-5e31-41a2-be8d-f9d15ac955f5,ee562c38-b2d6-43c8-a75f-369f37f2555e,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-04-14 04:44:47,3.25,Bank Transfer,71.78,Desktop
06f0e8b7-3181-4c9f-b942-973d7be46f51,5f117a37-edba-4743-a9f3-b737beb40223,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-04-14 06:22:28,0.83,PayPal,Error,Desktop
b2ce33b7-a436-44f9-a7df-c5e27e7aa0c4,ddca9dd3-1698-47a1-955d-ca99614f2654,ce85ba81-94a9-4446-90af-9e84134103ad,2022-04-15 05:48:57,0.64,Bank Transfer,118.52,Mobile
520e7a86-3c83-401d-9add-696367eb56a1,84b266bb-eb4b-4bbc-ab6a-fb931b23bd51,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-15 10:07:51,3.01,Bank Transfer,116.44,Mobile
3d3710fd-a4c9-482d-a037-e06ecb589f14,32b96871-235f-4d4d-a6f4-4f02bc51f579,ae3b4c97-da43-4c44-ad06-c409ada04238,2022-04-16 14:07:06,2.6,Credit Card,98.31,Desktop
4867c5fd-4aea-47f2-a187-43d5a1cc7224,037a10e4-fb6a-46bd-8802-886240976e49,6823125d-121e-4073-9785-5ea521b717a2,2022-04-16 23:33:13,3.97,Bank Transfer,95.99,Tablet
908762ca-7908-4473-bfc8-2aba9d1d8d9f,ca49bc97-2441-48e4-bd03-d9ab4fb61d30,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-04-17 15:36:51,4.23,PayPal,61.39,Tablet
00bec5e5-e160-4439-a071-4e561001d307,9eaf643e-0d59-406a-a03b-0ddcbc099e8e,8a554f71-1506-4a60-8b76-93c3e6175eb6,2022-04-18 09:53:54,2.13,PayPal,183.44,Tablet
a3b49e33-6e44-4cc3-bcd0-48594712ddea,123b6454-bf9a-4f83-ba01-76e592ee7231,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-20 17:52:51,3.56,Bank Transfer,125.24,Desktop
ac0fffad-d46c-4dbf-ac26-49ab3156e78c,d21d40e2-bb19-4b11-a8da-d3253810389c,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-21 08:29:35,2.83,Credit Card,64.92,Mobile
25674cbc-3983-4ca4-aab1-3e25bd27fdf7,0c129ecb-57a6-425d-aa56-0b408fa920b5,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-21 08:45:32,1.22,Credit Card,173.87,Desktop
03aee11a-d2f4-49c6-b3ae-2a23add900b4,861e6355-a181-4740-a77f-fff667a5154c,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-04-21 13:20:55,2.07,Credit Card,106.05,Tablet
3d35b8cd-5e31-41a2-be8d-f9d15ac955f5,02c336a6-1c51-4343-b37d-76e6dbd486ae,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-04-21 13:55:25,4.1,PayPal,70.99,Desktop
92f2c46f-732e-4d66-8c20-f2e289955b57,b0445f86-722f-42f5-ada2-6f77567c3988,8a554f71-1506-4a60-8b76-93c3e6175eb6,2022-04-21 21:47:29,0.81,PayPal,156.0,Desktop
3d35b8cd-5e31-41a2-be8d-f9d15ac955f5,8c3c093e-bce3-4a37-9189-76bf4e9fcae7,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-04-22 14:15:25,1.76,Credit Card,156.52,Desktop
58abab4a-8182-459a-99ea-97a8b232311c,aac15583-080e-4351-b2d4-033c6251325a,ce85ba81-94a9-4446-90af-9e84134103ad,2022-04-22 19:19:29,1.97,Bank Transfer,165.08,Desktop
2ffd31e6-bab5-4b4c-95a6-b18221cf6031,19248e1b-9ed3-4fce-906e-c261d74bffdc,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-04-23 21:20:58,3.08,Credit Card,49.14,Mobile
7240eea1-35ad-4757-b76b-1c659604d0a2,0a5ad72c-0e28-42ea-b6d5-7ee76fd22c34,ae3b4c97-da43-4c44-ad06-c409ada04238,2022-04-25 22:34:58,1.16,Bank Transfer,128.54,Desktop
33cebb03-e2e8-4f6a-b706-05be4d2bf4bc,954fa841-3fb6-4584-85d5-64217bc9874a,1bcc25ba-7e34-4318-b972-d63c3ecc5623,2022-04-26 14:56:08,4.91,PayPal,177.65,Tablet
18978fd1-7889-4697-b92f-35cc2958082e,423aff4b-5f5b-4d21-a6a8-719e06d10394,61baa425-8005-4ca7-a7c2-e308bd04570e,2022-04-26 16:34:02,4.47,Bank Transfer,38.44,Mobile
07855c73-eaf1-4974-8597-81d874bbc326,8dd862c8-5fd5-488a-a79f-eb01d4e0c626,a23ac978-0434-4dd2-85b7-e356ab430c54,2022-04-27 12:39:23,1.99,Credit Card,46.49,Desktop
26ac5153-b210-4db0-9d9a-fb680797d96d,fc5d9472-1b44-4910-b4d3-9af7568f2f37,,2022-04-27 23:54:23,3.36,PayPal,133.23,Desktop
e9bea314-c329-4f42-82b1-007cb93ebb72,985aaef0-c10e-4976-96e8-9c2517981ae2,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-28 08:11:12,2.17,PayPal,133.8,Tablet
4550a632-d649-4a74-819d-76c2f4ff728b,4847bf1f-43fe-4a0c-ba93-500d4fb53210,4d38cf8e-122e-4fde-9be6-5943cef97660,2022-04-28 09:11:54,0.8,PayPal,73.6,Tablet
30640f96-952a-42bc-b97b-ce909e4284f7,fe1d2e9f-613e-4415-93d6-b764320ee615,,2022-04-28 13:33:20,2.72,PayPal,128.63,Tablet
df7282bf-4276-403f-8bd4-c8cfe5aa7c32,af48d2fa-3546-4f82-9fdc-293c30caec2b,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-04-28 14:36:03,3.62,Credit Card,118.84,Desktop
1cb7aaa0-49b9-4319-84c5-0c07ff42be17,e442d913-55b1-4c46-b025-cec0d4568ca9,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-04-28 21:38:52,4.19,PayPal,192.3,Tablet
6525a179-f5b9-4443-839d-2d224077ac19,c07e0ef3-02a6-4140-8514-40cd64475e3a,0cf1f38a-9132-48f3-80b8-f1b59b8eadff,2022-04-29 06:46:09,1.94,Credit Card,18.65,Desktop
ddb67d27-1bb0-452a-885d-6a082e3faa24,a1020d97-f186-4d16-9fbe-f40ecc7af780,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-04-29 15:03:59,1.03,PayPal,29.09,Mobile
8a78cbd5-7a18-441b-beaf-02d4167b61b8,2ea37264-7988-468e-85f9-499a01570167,6c29787b-0ef5-4801-bb36-8d5ff50790d5,2022-04-29 21:35:56,1.97,Bank Transfer,156.23,Desktop
961dd564-6bfc-4182-8fcd-9636f8882c7d,7d6fc3ca-71ba-4077-a9d9-3f11af7fe161,ce85ba81-94a9-4446-90af-9e84134103ad,2022-04-29 22:14:35,3.56,Bank Transfer,14.08,Desktop
39178e60-fb37-4a69-8365-679884704258,14b55076-e894-49d9-bc15-ca65ff2d023f,9cd95457-0dc8-4c65-80ea-7b4db9d9df55,2022-04-30 01:08:21,2.57,Credit Card,152.53,Mobile
a9bed839-8f55-481c-a0d5-d4615d54ce14,27011e0e-815c-4d20-8097-559ae16593c1,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-04-30 22:34:03,1.73,Credit Card,123.29,Desktop
58abab4a-8182-459a-99ea-97a8b232311c,e01772f5-da34-4fe3-8e0f-6a36d883d23b,1a26f42a-554d-4a64-9ff4-a353b563886f,2022-05-01 22:59:54,2.88,Credit Card,182.81,Mobile
1721d566-5e9b-4c81-b3e0-6d7b1271ff6d,d863a596-52c9-48c9-9ba1-20ff141977e7,1dbf21d3-0e6d-432a-9842-3546623d41a2,2022-05-02 09:21:22,2.24,PayPal,139.61,Desktop
96cc98d9-9d6a-4e65-ac8a-7ea83022e402,85ffb621-39b2-4b0d-9a7e-ec0e7b66f2a6,2668553e-eabb-4519-b5cf-55ca9abd5474,2022-05-02 17:19:26,2.81,PayPal,157.86,Desktop
230e0314-f632-494e-a328-88071ad62281,4bc9ec9d-36e8-4755-ba49-411510a595c7,f3bd1255-8256-4e98-8a50-fd75978f7cd3,2022-05-04 04:37:11,3.7,Bank Transfer,134.9,Desktop
c8442513-b767-43a2-96a6-4471a8e0701b,f81187b3-7d00-4e57-ae2b-8fc2332e61d2,5916ce30-11d5-4bc0-aadc-d1f9e4e61d08,2022-05-04 23:37:03,4.02,Bank Transfer,159.01,Desktop
